Symbol,Company,Sector
BD1.AX,BARD1 Life Sciences Ltd,Health Care
BDA.AX,Bod Australia Ltd,Consumer Discretionary
BDC.AX,Bardoc Gold Ltd,Materials
BDG.AX,Black Dragon Gold Corp,Materials
BDI.AX,Blina Minerals NL,Materials
BEAR.AX,Betashares Australian Equities Bear Hedge Fund,
BEE.AX,Broo Ltd,Consumer Staples
BEL.AX,Bentley Capital Ltd,
BEM.AX,Blackearth Minerals NL,Materials
BEN.AX,Bendigo and Adelaide Bank Ltd,Financials
BET.AX,Betmakers Technology Group Ltd,Consumer Discretionary
BFC.AX,Beston Global Food Company Ltd,Consumer Staples
BFG.AX,Bell Financial Group Ltd,Financials
BGA.AX,Bega Cheese Ltd,Consumer Staples
BGL.AX,Bellevue Gold Ltd,Materials
BGP.AX,Briscoe Group Australasia Ltd,Consumer Discretionary
BGT.AX,Bio-Gene Technology Ltd,Materials
BHD.AX,Benjamin Hornigold Ltd,
BHL.AX,Boyuan Holdings Ltd,Real Estate
BHP.AX,BHP Group Ltd,Materials
BID.AX,Bidenergy Ltd,Information Technology
BILL.AX,Ishares Core Cash ETF,
BIN.AX,Bingo Industries Ltd,Industrials
BIQ.AX,"Buildingiq, Inc",Information Technology
BIR.AX,BIR Financial Ltd,Financials
BIS.AX,Bisalloy Steel Group Ltd,Materials
BIT.AX,Biotron Ltd,Health Care
BKI.AX,BKI Investment Company Ltd,
BKL.AX,Blackmores Ltd,Consumer Staples
BKT.AX,Black Rock Mining Ltd,Materials
BKW.AX,Brickworks Ltd,Materials
BKY.AX,Berkeley Energia Ltd,Energy
BLA.AX,Blue Sky Alternative Investments Ltd,Financials
BLD.AX,Boral Ltd,Materials
BLG.AX,Bluglass Ltd,Information Technology
BLK.AX,Blackham Resources Ltd,Materials
BLU.AX,Blue Energy Ltd,Energy
BLV.AX,Blossomvale Holdings Ltd,Energy
BLX.AX,Beacon Lighting Group Ltd,Consumer Discretionary
BLY.AX,Boart Longyear Ltd,Materials
BLZ.AX,BLAZE International Ltd,Energy
BMG.AX,BMG Resources Ltd,Materials
BMH.AX,Baumart Holdings Ltd,Industrials
BMN.AX,Bannerman Resources Ltd,Energy
BNDS.AX,Betashares Legg Mason Australian Bond Fund (Managed Fund),
BNKS.AX,Betashares Global Banks ETF - Currency Hedged,
BNL.AX,Big Star Energy Ltd,Energy
BNO.AX,Bionomics Ltd,Health Care
BNR.AX,Bulletin Resources Ltd,Materials
BOA.AX,Boadicea Resources Ltd,Materials
BOC.AX,Bougainville Copper Ltd,Materials
BOE.AX,Boss Resources Ltd,Materials
BOL.AX,Boom Logistics Ltd,Industrials
BOND.AX,SPDR S&P/ASX Australian Bond Fund,
BOQ.AX,Bank of Queensland Ltd,Financials
BOT.AX,Botanix Pharmaceuticals Ltd,Health Care
BPH.AX,BPH Energy Ltd,Health Care
BPL.AX,Broken Hill Prospecting Ltd,Materials
BPP.AX,Babylon Pump & Power Ltd,Industrials
BPT.AX,Beach Energy Ltd,Energy
BRB.AX,Breaker Resources NL,Materials
BRG.AX,Breville Group Ltd,Consumer Discretionary
BRI.AX,Big River Industries Ltd,Materials
BRK.AX,Brookside Energy Ltd,Energy
BRL.AX,Bathurst Resources Ltd,Materials
BRN.AX,Brainchip Holdings Ltd,Information Technology
BRU.AX,Buru Energy Ltd,Energy
BRV.AX,Big River Gold Ltd,Materials
BSA.AX,BSA Ltd,Industrials
BSE.AX,Base Resources Ltd,Materials
BSL.AX,Bluescope Steel Ltd,Materials
BSM.AX,Bass Metals Ltd,Materials
BSP.AX,Black Star Petroleum Ltd,Energy
BSR.AX,Bassari Resources Ltd,Materials
BSX.AX,Blackstone Minerals Ltd,Materials
BTC.AX,BTC Health Ltd,
BTH.AX,Bigtincan Holdings Ltd,Information Technology
BTI.AX,Bailador Technology Investments Ltd,Financials
BUB.AX,Bubs Australia Ltd,Consumer Staples
BUD.AX,Buddy Technologies Ltd,Information Technology
BUG.AX,Buderim Group Ltd,Consumer Staples
BUX.AX,Buxton Resources Ltd,Materials
BUY.AX,Bounty Oil & Gas NL,Energy
BVS.AX,Bravura Solutions Ltd,Information Technology
BWF.AX,Blackwall Ltd,Financials
BWP.AX,BWP Trust,Real Estate
BWR.AX,Blackwall Property Trust,Real Estate
BWX.AX,BWX Ltd,Consumer Staples
BXB.AX,Brambles Ltd,Industrials
BXN.AX,Bioxyne Ltd,Consumer Staples
BYE.AX,Byron Energy Ltd,Energy
BYH.AX,Bryah Resources Ltd,Materials
BYI.AX,Beyond International Ltd,Communication Services
C6C.AX,Copper Mountain Mining Corporation,Materials
CA8.AX,Coassets Ltd,Financials
CAA.AX,Capral Ltd,Materials
CAD.AX,Caeneus Minerals Ltd,Materials
CAE.AX,Cannindah Resources Ltd,Materials
CAF.AX,Centrepoint Alliance Ltd,Financials
CAG.AX,Cape Range Ltd,Information Technology
CAI.AX,Calidus Resources Ltd,Materials
CAJ.AX,Capitol Health Ltd,Health Care
CAM.AX,Clime Capital Ltd,
CAN.AX,Cann Group Ltd,Health Care
CAP.AX,Carpentaria Resources Ltd,Materials
CAQ.AX,CAQ Holdings Ltd,Real Estate
CAR.AX,Carsales.com Ltd,Communication Services
CAT.AX,Catapult Group International Ltd,Information Technology
CAU.AX,Cronos Australia Ltd,Health Care
CAV.AX,Carnavale Resources Ltd,Materials
CAY.AX,Canyon Resources Ltd,Materials
CAZ.AX,Cazaly Resources Ltd,Materials
CBA.AX,Commonwealth Bank of Australia,Financials
CBE.AX,Cobre Ltd,Materials
CBR.AX,Carbon Revolution Ltd,Consumer Discretionary
CBY.AX,Canterbury Resources Ltd,Materials
CCA.AX,Change Financial Ltd,Information Technology
CCE.AX,Carnegie Clean Energy Ltd,Utilities
CCG.AX,Commschoice Group Ltd,Information Technology
CCJ.AX,County International Ltd,Energy
CCL.AX,Coca-Cola Amatil Ltd,Consumer Staples
CCP.AX,Credit Corp Group Ltd,Financials
CCV.AX,Cash Converters International,Financials
CCX.AX,City Chic Collective Ltd,Consumer Discretionary
CCZ.AX,Castillo Copper Ltd,Materials
CD1.AX,Cordish Dixon Private Equity Fund I,
CD2.AX,Cordish Dixon Private Equity Fund Ii,
CD3.AX,Cordish Dixon Private Equity Fund Iii,
CDA.AX,Codan Ltd,Information Technology
CDD.AX,Cardno Ltd,Industrials
CDH.AX,Chongherr Investments Ltd,Materials
CDM.AX,Cadence Capital Ltd,
CDP.AX,Carindale Property Trust,Real Estate
CDT.AX,Castle Minerals Ltd,Materials
CDV.AX,Cardinal Resources Ltd,Materials
CDX.AX,Cardiex Ltd,Health Care
CDY.AX,Cellmid Ltd,Health Care
CE1.AX,Calima Energy Ltd,Energy
CEL.AX,Challenger Exploration Ltd,Energy
CEN.AX,Contact Energy Ltd,Utilities
CETF.AX,Vaneck Vectors Ftse China A50 ETF,
CFE.AX,Cape Lambert Resources Ltd,Materials
CFO.AX,Cfoam Ltd,Industrials
CG1.AX,Carbonxt Group Ltd,Materials
CGA.AX,Contango Asset Management Ltd,Financials
CGB.AX,Cann Global Ltd,Health Care
CGC.AX,Costa Group Holdings Ltd,Consumer Staples
CGF.AX,Challenger Ltd,Financials
CGL.AX,The Citadel Group Ltd,Information Technology
CGM.AX,Cougar Metals NL,Materials
CGN.AX,Crater Gold Mining Ltd,Materials
CGO.AX,CPT Global Ltd,Information Technology
CGR.AX,CML Group Ltd,Financials
CGS.AX,Cogstate Ltd,Health Care
CHC.AX,Charter Hall Group,Real Estate
CHK.AX,Cohiba Minerals Ltd,Materials
CHN.AX,Chalice Gold Mines Ltd,Materials
CHZ.AX,Chesser Resources Ltd,Materials
CI1.AX,Credit Intelligence Ltd,Industrials
CIA.AX,Champion Iron Ltd,Materials
CIE.AX,Contango Income Generator Ltd,
CII.AX,Ci Resources Ltd,Materials
CIM.AX,Cimic Group Ltd,Industrials
